Actual,Predicted
10641.7,10931.138486030215
423.0,365.89240826337664
3009.0,3611.4879298040414
4363.6,4685.310816062536
6773.5,6584.095933679049
3440.6,2749.134797376997
10895.9,10732.8350844256
14662.1,15721.932016352332
3575.6,3540.884856425875
2929.3,3312.2792695132757
6720.7,7506.178507016239
3454.3,3495.490982485857
2891.7,2955.4910732232474
10402.9,10466.76494918731
3604.0,3395.947945459522
7739.3,7955.243750054646
3492.5,3224.962297077649
7923.2,7470.335571886064
9370.3,9190.180492060603
2283.8,2157.301965484754
2736.4,3010.885085664
2571.0,2808.8769225237866
9452.0,9510.732164440496
3796.7,3961.014248814341
1180.3,1592.951729074217
1371.3,1926.4104665560026
1669.9,1102.41852920384
8122.1,8429.166953545495
13045.6,11696.583163611265
2146.5,2317.2102830500316
1393.8,1805.6469906140428
3672.4,3792.3489588702305
8706.2,8877.414420053154
3202.4,3254.7154168660727
2307.1,2119.900965129442
2565.9,2323.526828279162
8076.9,6755.633748410302
10526.5,10845.649467923877
11296.9,11299.299903164903
1448.5,1782.8166269806188
2819.0,2598.3780522643447
3233.4,3699.6567840277658
7195.0,7471.922633791657
1351.2,1417.553333610771
1106.3,1283.6318130838426
501.6,750.3052434744914
2343.3,2781.9666880661116
1778.6,1952.4993133975167
2394.7,2198.967345223131
5437.2,5003.379527570363
2268.0,2245.357356686911
6374.9,6290.920437358867
968.3,1189.064211682302
8548.6,8275.447193212976
3486.2,3427.4643399634606
8904.2,9945.348408857413
639.2,624.551388373262
12086.4,11370.70314140562
2167.0,2611.025953612845
1395.7,1335.0277800974818
2123.3,2143.059055760803
8766.7,9171.143014177616
2542.7,2831.9096304751674
8875.9,9706.638843535484
1868.2,1711.4247908844518
3892.4,3888.100932704585
1234.1,1236.5616717150642
3792.2,3771.8430605324193
2749.2,2516.9477394088844
4377.7,4602.816870869394
8422.1,6239.542205359068
9406.0,9528.863627343491
1645.6,1644.8315925855222
4659.5,4285.797848614946
3380.7,3496.817881461009
11091.4,10964.452789829864
729.7,783.4646248506342
6872.8,7871.279144305177
3968.6,5664.183388637739
1820.3,1582.846834736849
4174.5,3979.711468081654
2805.8,2508.936665885916
4462.4,4208.179969982733
4379.7,4351.013718819502
2045.7,2077.0976168515135
3240.4,2938.845419287283
1181.6,1224.550678623762
1640.8,1625.2086889586735
7208.9,7481.65448679108
3391.0,3667.290395594735
678.9,543.9035047778689
11069.5,11508.041469668527
2996.6,2710.18807533198
2797.1,2448.8405222321253
2032.3,2343.3380998631565
9278.9,9619.375532498694
10415.6,10573.365011233482
2469.6,2904.569466986615
7631.6,8240.632158009039
4050.9,3964.808167160105
1438.4,1230.0760874525913
526.1,420.56670964710247
650.8,824.472143423418
1792.7,1873.8851026996363
3858.4,4626.658534589029
4429.6,4329.765259798174
7504.2,7585.216320572008
3251.2,3689.3559341163727
2104.6,1891.4176412338948
1050.3,1070.8736425947081
4279.0,4328.849660010275
5058.1,5153.88712601187
2291.1,2385.311369596815
2731.6,2823.8614366418424
1906.4,1571.8543466985811
945.4,600.9150938990078
3163.1,2843.3818325215634
8712.1,9530.113723081706
2206.9,2133.321476595922
331.7,164.5015817523472
2054.9,2150.7559993635023
12177.3,11218.896600723698
11294.0,10567.969674846792
8298.3,7453.992285267823
3802.8,3772.9448989097236
1635.1,1369.0917862124134
2609.5,2444.3096852696126
2115.1,2194.9525234829434
1670.3,1480.308835094338
10159.9,9706.880504416966
1377.8,1279.6873357757086
3472.2,3675.2386576873923
2462.0,1485.0318262340115
7307.1,6837.60175260217
537.7,606.7691301922623
3798.7,3668.8761414499113
1302.0,1757.7579186546227
2867.0,2982.6250385213734
10003.3,9714.74255590996
12090.0,10973.379015879089
4307.2,4424.78287752755
2080.0,1930.519421521787
3678.5,3384.0344353146593
1081.8,1325.8167020094206
3663.2,3097.8273784449066
6681.1,7249.69111983818
1580.2,1840.6781480087757
2453.8,2679.911253201086
2657.6,2097.8907028396006
4445.6,4034.8481144442576
3102.8,3233.1452083973654
3110.6,3507.21390471879
2481.9,3155.67504477237
11067.5,11042.30195684713
391.4,312.24945582755936
6925.6,6178.077278137478
8232.3,9022.84919296321
